from,to,cost
1014862,1018732,3722.65
1014862,1018891,2863.29
1014862,1018892,2992.43
1014862,1018901,2452.55
1014862,1018902,3034.52
1014862,1019451,2863.29
1014862,1019452,3034.52
1014862,1019461,2992.43
1014862,1019462,3493.29
1014862,1019761,4238.38
1014862,1019762,3722.65
1014862,1020361,3722.65
1014862,1020362,3493.29
1014862,1020371,3722.65
1014862,1020372,4086.28
1014862,1020561,3034.52
1014862,1020562,3300.61
1014862,1020571,3034.52
1014862,1020572,3219.64
1014862,1020821,3493.29
1014862,1020822,3300.61
1014862,1020831,3493.29
1014862,1020832,4254.17
1014862,1021601,3219.64
1014862,1021602,3161.4
1014862,1021781,3161.4
1014862,1021782,3470.54
1014862,1058031,704.687
1014862,1058032,664.187
1014862,1058051,2689.88
1014862,1058052,3074.28
1014871,1014661,443.732
1014871,1014662,461.116
1014871,1014861,664.187
1014871,1014862,664.187
1014871,1014871,0
1014871,1014872,461.116
1014871,1014971,664.187
1014871,1014972,779.936
1014871,1015901,461.116
1014871,1015902,579.978
1014871,1016041,4613.47
1014871,1016042,4576.3
1014871,1016111,2177.06
1014871,1016112,2558.33
1014871,1016191,1579.4
1014871,1016192,779.936
1014871,1016201,1579.4
1014871,1016202,2097.74
1014871,1016261,579.978
1014871,1016262,779.936
1014871,1016811,3611.97
1014871,1016812,4140.48
1014871,1017341,4413.61
1014871,1017342,4140.48
1014871,1017351,4413.61
1014871,1017352,4576.3
1014871,1017391,3008.29
1014871,1017392,2558.33
1014871,1017411,3476.6
1014871,1017412,3570.43
1014871,1017441,2558.33
1014871,1017442,2097.74
1014871,1017451,2558.33
1014871,1017452,3001.2
1014871,1017531,4140.48
1014871,1017541,4140.48
1014871,1017542,3690.04
1014871,1017551,2097.74
1014871,1017552,2291.83
1014871,1017911,4576.3
1014871,1017912,4670.73
1014871,1018111,2291.83
1014871,1018112,3001.2
1014871,1018121,2291.83
1014871,1018122,3588.58
1014871,1018301,4356.17
1014871,1018302,3825.74
1014871,1018311,4356.17
1014871,1018312,4846.59
1014871,1018441,3690.04
1014871,1018442,3825.74
1014871,1018451,3690.04
1014871,1018452,3476.6
1014871,1018721,3825.74
1014871,1018722,3570.43
1014871,1018731,3825.74
1014871,1018732,4300.42
1014871,1018891,3427.85
1014871,1018892,3570.43
1014871,1018901,3001.2
1014871,1018902,3542.8
1014871,1019451,3427.85
1014871,1019452,3542.8
1014871,1019461,3570.43
1014871,1019462,4036.42
1014871,1019761,4858.84
1014871,1019762,4300.42
1014871,1020361,4300.42
1014871,1020362,4036.42
1014871,1020371,4300.42
1014871,1020372,4645.61
1014871,1020561,3542.8
1014871,1020562,3793.84
1014871,1020571,3542.8
1014871,1020572,3680.01
1014871,1020821,4036.42
1014871,1020822,3793.84
1014871,1020831,4036.42
1014871,1020832,4756
1014871,1021601,3680.01
1014871,1021602,3588.58
1014871,1021781,3588.58
1014871,1021782,3884.7
1014871,1058031,301.768
1014871,1058032,301.768
1014871,1058051,3329.27
1014871,1058052,3690.04
1014872,1014661,136.863
1014872,1014662,136.863
1014872,1014861,461.116
1014872,1014862,834.104
1014872,1014871,461.116
1014872,1014872,0
1014872,1014971,834.104
1014872,1014972,596.492
1014872,1015901,240.699
1014872,1015902,240.699
1014872,1016041,4573.74
1014872,1016042,4533.63
1014872,1016111,2196.57
1014872,1016112,2459.57
1014872,1016191,1562.49
1014872,1016192,596.492
1014872,1016201,1562.49
1014872,1016202,1944.44
1014872,1016261,240.699
1014872,1016262,596.492
1014872,1016811,3623.41
1014872,1016812,4107.71
1014872,1017341,4398.21
1014872,1017342,4107.71
1014872,1017351,4398.21
1014872,1017352,4533.63
1014872,1017391,2943.01
1014872,1017392,2459.57
1014872,1017411,3335.56
1014872,1017412,3417.94
1014872,1017441,2459.57
1014872,1017442,1944.44
1014872,1017451,2459.57
1014872,1017452,2824.82
1014872,1017531,4107.71
1014872,1017541,4107.71
1014872,1017542,3589.88
1014872,1017551,1944.44
1014872,1017552,2106.79
1014872,1017911,4533.63
1014872,1017912,4613.43
1014872,1018111,2106.79
1014872,1018112,2824.82
1014872,1018121,2106.79
1014872,1018122,3298.85
1014872,1018301,4295.08
1014872,1018302,3709.47
1014872,1018311,4295.08
1014872,1018312,4746.44
1014872,1018441,3589.88
1014872,1018442,3709.47
1014872,1018451,3589.88
1014872,1018452,3335.56
1014872,1018721,3709.47
1014872,1018722,3417.94
1014872,1018731,3709.47
1014872,1018732,4139.26
1014872,1018891,3261.39
1014872,1018892,3417.94
1014872,1018901,2824.82
1014872,1018902,3317.57
1014872,1019451,3261.39
1014872,1019452,3317.57
1014872,1019461,3417.94
1014872,1019462,3838.58
1014872,1019761,4756.15
1014872,1019762,4139.26
1014872,1020361,4139.26
1014872,1020362,3838.58
1014872,1020371,4139.26
1014872,1020372,4459.54
1014872,1020561,3317.57
1014872,1020562,3552.05
1014872,1020571,3317.57
1014872,1020572,3413.2
1014872,1020821,3838.58
1014872,1020822,3552.05
1014872,1020831,3838.58
1014872,1020832,4512.23
1014872,1021601,3413.2
1014872,1021602,3298.85
1014872,1021781,3298.85
1014872,1021782,3582.58
1014872,1058031,762.846
1014872,1058032,461.116
1014872,1058051,3279.59
1014872,1058052,3589.88
1014971,1014661,922.543
1014971,1014662,834.104
1014971,1014861,664.187
1014971,1014862,664.187
1014971,1014871,664.187
1014971,1014872,834.104
1014971,1014971,0
1014971,1014972,553.995
1014971,1015901,834.104
1014971,1015902,722.027
1014971,1016041,3965.45
1014971,1016042,3929.4
1014971,1016111,1521.16
1014971,1016112,1954.99
1014971,1016191,950.742
1014971,1016192,553.995
1014971,1016201,950.742
1014971,1016202,1553.74
1014971,1016261,722.027
1014971,1016262,553.995
1014971,1016811,2952.49
1014971,1016812,3491.3
1014971,1017341,3758.7
1014971,1017342,3491.3
1014971,1017351,3758.7
1014971,1017352,3929.4
1014971,1017391,2378.71
1014971,1017392,1954.99
1014971,1017411,2890.66
1014971,1017412,2992.43
1014971,1017441,1954.99
1014971,1017442,1553.74
1014971,1017451,1954.99
1014971,1017452,2452.55
1014971,1017531,3491.3
1014971,1017541,3491.3
1014971,1017542,3074.28
1014971,1017551,1553.74
1014971,1017552,1772
1014971,1017911,3929.4
1014971,1017912,4029.09
1014971,1018111,1772
1014971,1018112,2452.55
1014971,1018121,1772
1014971,1018122,3161.4
1014971,1018301,3717.06
1014971,1018302,3219.04
1014971,1018311,3717.06
1014971,1018312,4224.76
1014971,1018441,3074.28
1014971,1018442,3219.04
1014971,1018451,3074.28
1014971,1018452,2890.66
1014971,1018721,3219.04
1014971,1018722,2992.43
1014971,1018731,3219.04
1014971,1018732,3722.65
1014971,1018891,2863.29
1014971,1018892,2992.43
1014971,1018901,2452.55
1014971,1018902,3034.52
1014971,1019451,2863.29
1014971,1019452,3034.52
1014971,1019461,2992.43
1014971,1019462,3493.29
1014971,1019761,4238.38
1014971,1019762,3722.65
1014971,1020361,3722.65
1014971,1020362,3493.29
1014971,1020371,3722.65
1014971,1020372,4086.28
1014971,1020561,3034.52
1014971,1020562,3300.61
1014971,1020571,3034.52
1014971,1020572,3219.64
1014971,1020821,3493.29
1014971,1020822,3300.61
1014971,1020831,3493.29
1014971,1020832,4254.17
1014971,1021601,3219.64
1014971,1021602,3161.4
1014971,1021781,3161.4
1014971,1021782,3470.54
1014971,1058031,704.687
1014971,1058032,664.187
1014971,1058051,2689.88
1014971,1058052,3074.28
1014972,1014661,731.043
1014972,1014662,596.492
1014972,1014861,779.936
1014972,1014862,553.995
1014972,1014871,779.936
1014972,1014872,596.492
1014972,1014971,553.995
1014972,1014972,0
1014972,1015901,596.492
1014972,1015902,366.128
1014972,1016041,3977.7
1014972,1016042,3937.46
1014972,1016111,1619.72
1014972,1016112,1864.16
1014972,1016191,982.055
1014972,1016192,982.055
1014972,1016201,982.055
1014972,1016202,1358.42
1014972,1016261,366.128
1014972,1016262,366.128
1014972,1016811,3036.14
1014972,1016812,3512.36
1014972,1017341,3804.61
1014972,1017342,3512.36
1014972,1017351,3804.61
1014972,1017352,3937.46
1014972,1017391,2346.54
1014972,1017392,1864.16
1014972,1017411,2749.91
1014972,1017412,2836.03
1014972,1017441,1864.16
1014972,1017442,1358.42
1014972,1017451,1864.16
1014972,1017452,2250.91
1014972,1017531,3512.36
1014972,1017541,3512.36
1014972,1017542,2995.91
1014972,1017551,1358.42
1014972,1017552,1534.37
1014972,1017911,3937.46
1014972,1017912,4016.94
1014972,1018111,1534.37
1014972,1018112,2250.91
1014972,1018121,1534.37
1014972,1018122,2809.02
1014972,1018301,3698.6
1014972,1018302,3118.32
1014972,1018311,3698.6
1014972,1018312,4153.3
1014972,1018441,2995.91
1014972,1018442,3118.32
1014972,1018451,2995.91
1014972,1018452,2749.91
1014972,1018721,3118.32
1014972,1018722,2836.03
1014972,1018731,3118.32
1014972,1018732,3561.52
1014972,1018891,2684.33
1014972,1018892,2836.03
1014972,1018901,2250.91
1014972,1018902,2771.97
1014972,1019451,2684.33
1014972,1019452,2771.97
1014972,1019461,2836.03
1014972,1019462,3277.15
1014972,1019761,4163.41
1014972,1019762,3561.52
1014972,1020361,3561.52
1014972,1020362,3277.15
1014972,1020371,3561.52
1014972,1020372,3892.87
1014972,1020561,2771.97
1014972,1020562,3018.67
1014972,1020571,2771.97
1014972,1020572,2900.65
1014972,1020821,3277.15
1014972,1020822,3018.67
1014972,1020831,3277.15
1014972,1020832,3981.15
1014972,1021601,2900.65
1014972,1021602,2809.02
1014972,1021781,2809.02
1014972,1021782,3106.35
1014972,1058031,998.176
1014972,1058032,779.936
1014972,1058051,2683.53
1014972,1058052,2995.91
1015901,1014661,136.863
1015901,1014662,136.863
1015901,1014861,461.116
1015901,1014862,834.104
1015901,1014871,461.116
1015901,1014872,461.116
1015901,1014971,834.104
1015901,1014972,596.492
1015901,1015901,0
1015901,1015902,240.699
1015901,1016041,4573.74
1015901,1016042,4533.63
1015901,1016111,2196.57
1015901,1016112,2459.57
1015901,1016191,1562.49
1015901,1016192,596.492
1015901,1016201,1562.49
1015901,1016202,1944.44
1015901,1016261,240.699
1015901,1016262,596.492
1015901,1016811,3623.41
1015901,1016812,4107.71
1015901,1017341,4398.21
1015901,1017342,4107.71
1015901,1017351,4398.21
1015901,1017352,4533.63
1015901,1017391,2943.01
1015901,1017392,2459.57
1015901,1017411,3335.56
1015901,1017412,3417.94
1015901,1017441,2459.57
1015901,1017442,1944.44
1015901,1017451,2459.57
1015901,1017452,2824.82
1015901,1017531,4107.71
1015901,1017541,4107.71
1015901,1017542,3589.88
1015901,1017551,1944.44
1015901,1017552,2106.79
1015901,1017911,4533.63
1015901,1017912,4613.43
1015901,1018111,2106.79
1015901,1018112,2824.82
1015901,1018121,2106.79
1015901,1018122,3298.85
1015901,1018301,4295.08
1015901,1018302,3709.47
1015901,1018311,4295.08
1015901,1018312,4746.44
1015901,1018441,3589.88
1015901,1018442,3709.47
1015901,1018451,3589.88
1015901,1018452,3335.56
1015901,1018721,3709.47
1015901,1018722,3417.94
1015901,1018731,3709.47
1015901,1018732,4139.26
1015901,1018891,3261.39
1015901,1018892,3417.94
1015901,1018901,2824.82
1015901,1018902,3317.57
1015901,1019451,3261.39
1015901,1019452,3317.57
1015901,1019461,3417.94
1015901,1019462,3838.58
1015901,1019761,4756.15
1015901,1019762,4139.26
1015901,1020361,4139.26
1015901,1020362,3838.58
1015901,1020371,4139.26
1015901,1020372,4459.54
1015901,1020561,3317.57
1015901,1020562,3552.05
1015901,1020571,3317.57
1015901,1020572,3413.2
1015901,1020821,3838.58
1015901,1020822,3552.05
1015901,1020831,3838.58
1015901,1020832,4512.23
1015901,1021601,3413.2
1015901,1021602,3298.85
1015901,1021781,3298.85
1015901,1021782,3582.58
1015901,1058031,762.846
1015901,1058032,461.116
1015901,1058051,3279.59
1015901,1058052,3589.88
1015902,1014661,377.535
1015902,1014662,240.699
1015902,1014861,579.978
1015902,1014862,722.027
1015902,1014871,579.978
1015902,1014872,240.699
1015902,1014971,722.027
1015902,1014972,366.128
1015902,1015901,240.699
1015902,1015902,0
1015902,1016041,4341.89
1015902,1016042,4301.39
1015902,1016111,1982.44
1015902,1016112,2222.98
1015902,1016191,1345.38
1015902,1016192,366.128
1015902,1016201,1345.38
1015902,1016202,1704.46
1015902,1016261,366.128
1015902,1016262,366.128
1015902,1016811,3401.96
1015902,1016812,3877.37
1015902,1017341,4170.42
1015902,1017342,3877.37
1015902,1017351,4170.42
1015902,1017352,4301.39
1015902,1017391,2709.58
1015902,1017392,2222.98
1015902,1017411,3095.26
1015902,1017412,3177.33
1015902,1017441,2222.98
1015902,1017442,1704.46
1015902,1017451,2222.98
1015902,1017452,2584.16
1015902,1017531,3877.37
1015902,1017541,3877.37
1015902,1017542,3351.86
1015902,1017551,1704.46
1015902,1017552,1866.11
1015902,1017911,4301.39
1015902,1017912,4379.18
1015902,1018111,1866.11
1015902,1018112,2584.16
1015902,1018121,1866.11
1015902,1018122,3071.73
1015902,1018301,4060.58
1015902,1018302,3470.21
1015902,1018311,4060.58
1015902,1018312,4507.86
1015902,1018441,3351.86
1015902,1018442,3470.21
1015902,1018451,3351.86
1015902,1018452,3095.26
1015902,1018721,3470.21
1015902,1018722,3177.33
1015902,1018731,3470.21
1015902,1018732,3898.57
1015902,1018891,3020.7
1015902,1018892,3177.33
1015902,1018901,2584.16
1015902,1018902,3079.77
1015902,1019451,3020.7
1015902,1019452,3079.77
1015902,1019461,3177.33
1015902,1019462,3598.89
1015902,1019761,4517.38
1015902,1019762,3898.57
1015902,1020361,3898.57
1015902,1020362,3598.89
1015902,1020371,3898.57
1015902,1020372,4219.42
1015902,1020561,3079.77
1015902,1020562,3316.32
1015902,1020571,3079.77
1015902,1020572,3181.32
1015902,1020821,3598.89
1015902,1020822,3316.32
1015902,1020831,3598.89
1015902,1020832,4277.29
1015902,1021601,3181.32
1015902,1021602,3071.73
1015902,1021781,3071.73
1015902,1021782,3358.91
1015902,1058031,863.658
1015902,1058032,579.978
1015902,1058051,3047.8
1015902,1058052,3351.86
1016041,1014661,4666.86
1016041,1014662,4533.63
1016041,1014861,4576.3
1016041,1014862,3929.4
1016041,1014871,4576.3
