tsdlinkid,avgspeed
1006051,30
1006052,30
1006061,50
1006062,50
1006071,30
1006072,30
1006081,50
1006082,50
1006091,50
1006092,50
1006101,37
1006102,37
1006141,57
1006142,56
1006181,58
1006182,58
1006191,50
1006192,50
1006201,30
1006202,30
1006211,50
1006212,50
1006221,50
1006222,50
1006231,50
1006232,50
1006241,30
1006242,31
1006251,50
1006252,50
1006261,50
1006262,50
1006271,50
1006272,50
1006281,42
1006282,42
1006291,50
1006292,50
1006301,50
1006302,50
1006331,50
1006332,50
1006351,38
1006352,38
1006361,48
1006362,48
1006371,50
1006372,50
1006381,30
1006382,30
1006391,40
1006392,40
1006401,50
1006402,50
1006412,30
1006421,30
1006422,30
1006431,30
1006432,30
1006441,50
1006442,50
1006451,40
1006452,40
1006461,50
1006462,50
1006471,30
1006472,30
1006481,30
1006482,30
1006491,50
1006492,50
1006501,50
1006502,50
1006511,30
1006512,30
1006521,30
1006522,30
1006531,50
1006532,50
1006541,30
1006551,50
1006552,50
1006561,50
1006562,50
1006571,50
1006572,50
1006581,40
1006582,40
1006591,50
1006592,50
1006601,50
1006602,50
1006611,50
1006612,50
1006621,30
1006622,30
1006631,30
1006632,30
1006641,50
1006642,50
1006671,40
1006672,38
1006681,50
1006682,50
1006701,30
1006702,30
1006711,30
1006712,30
1006721,30
1006722,30
1006731,30
1006732,30
1006741,30
1006742,30
1006751,50
1006752,50
1006761,30
1006762,30
1006771,50
1006772,50
1006791,33
1006792,34
1006801,48
1006802,50
1006811,50
1006812,50
1006821,30
1006822,30
1006831,30
1006832,30
1006841,50
1006842,50
1006851,50
1006852,50
1006861,50
1006862,50
1006871,50
1006872,50
1006881,50
1006882,50
1006911,50
1006912,48
1006921,46
1006922,49
1006971,50
1006972,50
1006981,30
1006982,30
1006991,30
1006992,30
1007001,30
1007002,30
1007011,50
1007012,50
1007021,46
1007022,46
1007031,50
1007032,50
1007041,30
1007042,30
1007051,30
1007052,30
1007061,50
1007062,50
1007071,30
1007072,30
1007081,50
1007082,50
1007091,50
1007092,48
1007101,32
1007102,32
1007111,40
1007112,40
1007121,50
1007122,50
1007132,30
1007141,30
1007142,30
1007161,50
1007162,50
1007171,50
1007172,50
1007181,38
1007182,38
1007191,50
1007192,50
1007201,50
1007202,50
1007211,50
1007212,50
1007221,30
1007222,30
1007231,30
1007232,30
1007251,44
1007252,43
1007261,50
1007262,47
1007271,50
1007272,48
1007291,30
1007292,30
1007311,30
1007312,30
1007321,30
1007322,30
1007331,50
1007332,50
1007341,50
1007342,50
1007351,40
1007361,30
1007362,30
1007371,40
1007372,40
1007381,44
1007382,44
1007421,40
1007422,40
1007431,40
1007432,40
1007441,40
1007442,40
1007451,38
1007452,39
1007471,50
1007472,50
1007501,30
1007502,30
1007511,30
1007512,30
1007521,30
1007522,32
1007541,30
1007542,30
1007551,50
1007552,50
1007561,30
1007562,30
1007571,30
1007572,30
1007581,47
1007582,50
1007601,46
1007602,46
1007611,30
1007612,30
1007631,50
1007632,50
1007641,50
1007642,50
1007651,50
1007652,50
1007661,50
1007662,50
1007671,30
1007672,30
1007681,50
1007682,50
1007691,50
1007692,50
1007701,50
1007702,50
1007711,30
1007712,30
1007721,30
1007722,30
1007731,50
1007732,50
1007741,50
1007742,50
1007751,30
1007752,30
1007761,42
1007762,43
1007771,50
1007772,50
1007781,30
1007782,30
1007791,47
1007792,47
1007801,50
1007802,50
1007811,30
1007812,30
1007821,30
1007822,30
1007831,30
1007842,30
1007851,50
1007852,50
1007871,50
1007872,50
1007891,50
1007892,50
1007911,50
1007912,50
1007921,30
1007922,30
1007932,30
1007941,40
1007942,40
1007951,40
1007991,50
1007992,50
1008001,40
1008002,40
1008011,48
1008012,47
1008021,40
1008022,40
1008031,47
1008032,46
1008051,50
1008052,50
1008061,30
1008062,30
1008071,35
1008072,35
1008081,30
1008082,30
1008091,30
1008092,30
1008101,30
1008102,30
1008111,46
1008112,46
1008121,60
1008122,60
1008131,30
1008132,30
1008141,50
1008142,50
1008152,60
1008161,50
1008162,50
1008261,50
1008262,50
1008281,50
1008282,50
1008291,50
1008292,50
1008311,50
1008312,50
1008321,50
1008322,50
1008331,34
1008332,34
1008341,50
1008342,50
1008361,41
1008362,41
1008382,32
1008391,37
1008392,35
1008401,30
1008402,30
1008411,50
1008412,50
1008421,50
1008422,50
1008431,43
1008432,44
1008441,50
1008442,50
1008451,30
1008452,30
1008481,50
1008482,50
1008491,30
1008492,30
1008501,50
1008502,50
1008511,30
1008512,30
1008521,50
1008522,50
1008531,40
1008532,40
1008541,50
1008542,50
1008551,30
1008552,30
1008561,40
1008562,40
1008591,50
1008592,50
1008601,50
1008602,50
1008611,50
1008612,50
1008631,52
1008632,53
1008641,50
1008642,50
1008651,50
1008652,50
1008661,30
1008662,30
1008671,50
1008672,50
1008681,50
1008682,50
1008691,32
1008692,30
1008701,50
1008702,50
1008712,30
1008721,50
1008722,50
1008731,30
1008732,30
1008771,50
1008772,50
1008781,50
1008782,50
1008791,50
1008792,50
1008801,50
1008802,50
1008811,50
1008812,50
1008821,43
1008822,43
1008831,30
1008832,30
1008841,50
1008842,50
1008852,30
1008861,50
1008862,50
1008871,30
1008872,30
1008881,38
1008882,37
1008891,23
1008892,30
1008901,40
1008902,40
1008911,40
1008912,40
1008921,100
1008922,100
1008962,50
1009001,30
1009002,30
1009021,30
1009022,30
1009031,30
1009032,30
1009051,50
1009052,50
1009071,40
1009072,40
1009081,40
1009082,40
1009091,30
1009092,30
1009121,50
1009122,50
1009131,39
1009132,37
1009141,40
1009142,40
1009151,50
1009152,50
1009171,50
1009172,50
1009181,50
1009182,50
1009191,30
1009192,30
1009211,50
1009212,50
1009221,41
1009222,40
1009231,50
1009232,50
1009241,50
1009242,50
1009251,43
1009252,43
1009261,50
1009262,50
1009281,50
1009282,50
1009311,50
1009312,50
1009321,30
1009322,30
1009331,31
1009332,30
1009341,41
1009342,44
1009361,30
1009362,30
1009371,30
1009372,30
1009401,31
1009402,50
1009411,40
1009412,40
1009441,30
1009451,50
1009452,50
1009461,50
1009462,50
1009472,30
1009501,40
1009502,40
1009541,40
1009542,40
1009551,30
1009552,30
1009561,40
1009562,40
1009571,30
1009572,30
1009581,50
1009582,50
1009591,50
1009592,50
1009611,50
1009612,50
1009621,58
1009622,44
1009651,30
1009652,30
1009661,44
1009662,45
1009811,30
1009812,30
1009821,30
1009822,30
1009831,30
1009832,30
1009851,50
1009852,50
1009871,50
1009872,50
1009881,50
1009882,50
1009891,50
1009892,50
1009901,50
1009902,50
1009911,48
1009912,56
1009921,50
1009922,50
1009931,50
1009932,50
1009941,50
1009942,50
1009951,50
1009952,50
1009961,50
1009962,50
1009971,50
1009972,40
1009981,30
1009982,30
1009991,50
1009992,50
1010001,30
1010002,30
1010011,40
1010012,40
1010021,50
1010022,50
1010031,50
1010041,50
1010042,50
1010052,50
1010061,31
1010062,31
1010071,50
1010072,50
1010081,50
1010082,50
1010111,40
1010112,40
1010121,50
1010122,50
1010131,50
1010132,50
1010141,50
1010142,50
1010151,50
1010152,50
1010161,50
1010162,50
1010171,50
1010172,50
1010181,50
1010182,50
1010191,50
1010192,50
1010202,30
1010211,50
1010212,50
1010221,50
1010222,49
1010232,50
1010241,50
1010242,50
1010262,26
1010271,50
1010272,50
1010301,30
1010302,30
1010311,50
1010312,51
1010341,50
1010342,50
1010351,30
1010352,30
1010361,30
1010362,30
1010371,50
1010372,50
1010381,30
1010382,30
1010401,30
1010402,30
1010421,42
1010422,41
1010431,36
1010432,36
1010441,30
1010442,30
1010461,30
1010462,30
1010472,30
1010481,50
1010482,50
1010501,28
1010502,30
1010511,50
1010512,50
1010531,50
1010532,50
1010541,30
1010542,30
1010551,50
1010581,30
1010582,30
1010592,50
1010601,50
1010602,50
1010611,50
1010612,50
1010621,50
1010622,50
1010641,30
1010642,30
1010651,50
1010652,50
1010671,50
1010672,50
1010681,40
1010682,40
1010701,33
1010702,33
1010711,50
1010712,50
1010771,50
1010772,50
1010841,50
1010842,50
1010851,30
1010852,30
1010861,40
1010862,40
1010871,50
1010872,50
1010881,45
1010882,50
1010891,30
1010892,30
1010901,30
1010902,30
1010911,30
1010912,30
1010921,50
1010922,50
1010931,50
1010932,50
1010941,50
1010951,50
1010952,50
1010961,50
1010962,50
1010971,40
1010972,40
1010981,50
1010982,50
1011021,50
1011022,50
1011031,30
1011032,30
1011052,50
1011061,50
1011062,50
1011071,50
1011072,50
1011082,40
1011092,50
1011101,50
1011111,50
1011122,50
1011131,50
1011132,50
1011141,50
1011151,30
1011161,50
1011162,50
1011171,50
1011172,50
1011181,50
1011182,50
1011201,50
1011202,50
1011221,52
1011222,50
1011231,40
1011232,40
1011241,50
1011242,50
1011281,50
1011282,50
1011291,50
1011292,50
1011301,50
1011302,50
1011331,50
1011332,50
1011341,50
1011342,50
1011381,50
1011382,50
1011391,30
1011392,30
1011411,50
1011412,50
1011421,50
1011422,50
1011431,50
1011432,50
1011441,50
1011442,50
1011451,50
1011452,50
1011461,50
1011462,50
1011471,30
1011472,30
1011481,30
1011482,30
1011491,30
1011492,30
1011511,34
1011512,34
1011551,40
1011552,40
1011581,50
1011582,50
1011621,30
1011622,30
1011631,30
1011632,30
1011641,50
1011642,50
1011662,30
1011671,50
1011672,50
1011681,50
1011682,50
1011691,30
1011692,30
1011761,30
1011762,30
1011771,50
1011782,50
1011801,30
1011802,30
1011811,50
1011812,50
1011821,50
1011822,50
1012011,50
1012012,50
1012021,50
1012022,50
1012031,50
1012032,50
1012041,30
1012042,30
1012051,50
1012052,49
1012061,30
1012062,30
1012071,50
1012072,50
1012201,30
1012202,30
1012211,30
1012212,30
1012221,39
1012222,39
1012241,50
1012242,50
1012251,50
1012252,50
1012261,50
1012262,50
1012271,50
1012272,50
1012281,30
1012282,30
1012291,50
1012292,50
1012311,50
1012312,50
1012331,50
1012332,50
1012351,50
1012352,50
1012361,30
1012362,30
1012371,50
1012372,50
1012381,50
1012382,50
1012391,50
1012392,50
1012441,30
1012442,30
1012451,50
1012452,50
1012461,50
1012462,50
1012481,50
1012482,50
1012491,50
1012492,50
1012501,30
1012502,30
1012511,50
1012512,50
1012521,50
1012522,50
1012531,30
1012532,30
1012541,30
1012542,30
1012551,30
1012552,30
1012561,38
1012562,38
1012591,30
1012592,30
1012601,30
1012602,30
1012661,35
1012662,35
1012681,50
1012682,50
1012701,50
1012702,50
1012711,50
1012712,50
1012721,50
1012722,50
1012751,47
1012752,47
1012781,50
1012782,50
1012791,60
1012792,58
1012851,50
1012852,50
1012921,50
1012922,50
1012951,30
1012952,30
1012961,30
1012962,30
1013041,50
1013042,50
1013051,34
1013052,34
1013061,39
1013062,39
1013081,30
1013082,30
1013101,50
1013102,50
1013111,50
1013112,50
1013121,50
1013122,50
1013131,30
1013132,30
1013161,50
1013162,50
1013181,50
1013182,50
1013191,50
1013192,50
1013221,50
1013222,50
1013251,50
1013252,50
1013261,20
1013272,23
1013292,50
1013312,52
1013331,50
1013361,33
1013362,30
1013371,38
1013372,38
1013381,50
1013382,50
